"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"1748","No Good Deed","2014","PG-13","12 Sep 2014","84 min","Crime, Drama, Thriller","Sam Miller","Aimee Lagos","Idris Elba, Taraji P. Henson, Leslie Bibb, Kate del Castillo","An unstable escaped convict terrorizes a woman who is alone with her two children.","English","USA","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMzk0OTc3MDM5MF5BMl5BanBnXkFtZTgwOTMzMDMzMjE@._V1_SX300.jpg","Internet Movie Database","5.6/10","Rotten Tomatoes","11%","Metacritic","26/100","26","5.6","15,290","tt2011159","movie","06 Jan 2015","$42,428,931","Sony/Screen Gems","http://sites.sonypictures.com/nogooddeed/teaser/","True",NA
"1749","I Am Eleven","2011","N/A","12 Sep 2014","98 min","Documentary, Biography","Genevieve Bailey","N/A","Billy, Dagan, Fang, Ginisha","The lives and thoughts of children from all around the world. It weaves together deeply personal and at times hilarious portraits of what it means to stand on the cusp between childhood and adolescence.","English","Australia, Netherlands, Germany, China, Sweden, Bulgaria, Thailand, Czech Republic, France, Japan, India, UK, Finland, Morocco","3 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMDM1MTQ5NV5BMl5BanBnXkFtZTgwNjkzMTYzMDE@._V1_SX300.jpg","Internet Movie Database","6.2/10","Rotten Tomatoes","83%","Metacritic","55/100","55","6.2","250","tt1832370","movie","N/A","&pound;69,394","International Film Circuit Inc.","http://www.iameleven.com/","True",NA
"1750","The Quitter","2014","N/A","12 Sep 2014","85 min","Comedy, Drama","Matthew Bonifacio","Bill Gullo","Matthew Bonifacio, Julianna Gelinas Bonifacio, Destiny Monet Cruz, Neil Jain","When a failed baseball player's ex-girlfriend moves back to the neighborhood with her seven-year-old daughter, he realizes he carries more regrets than how he handled his baseball career.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MzQ4Mjc3Nl5BMl5BanBnXkFtZTgwNDY5MDc1MjE@._V1_SX300.jpg","Internet Movie Database","8.7/10",NA,NA,NA,NA,"N/A","8.7","42","tt2377194","movie","N/A","N/A","Goodface Films","http://thequittermovie.com/","True",NA
"1751","The Man on Her Mind","2014","N/A","12 Sep 2014","97 min","Comedy, Romance","Bruce Guthrie, Alan Hruska","Alan Hruska","Shane Attwooll, Bronwen Hruska, Martin Hyde, Samuel James","Girl meets boy - or has she? For her, the image taps into her dreams. For him, it's an equally enchanting but otherworldly experience. Then reality intervenes. For both - or is it the four of them?","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BNTc5MjUyMzA2Nl5BMl5BanBnXkFtZTgwNTgwNDA1MjE@._V1_SX300.jpg","Internet Movie Database","5.0/10","Rotten Tomatoes","13%","Metacritic","25/100","25","5.0","24","tt3058212","movie","N/A","N/A","Paladin Films","http://www.themanonhermind.com/","True",NA
"1752","The Drop","2014","R","12 Sep 2014","106 min","Crime, Drama","Michaël R. Roskam","Dennis Lehane (screenplay), Dennis Lehane (short story ""Animal Rescue"")","Tom Hardy, Noomi Rapace, James Gandolfini, Matthias Schoenaerts","Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.","English, Russian","USA","4 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BMTkyNjMzODUzNV5BMl5BanBnXkFtZTgwNjIxNDI1MTE@._V1_SX300.jpg","Internet Movie Database","7.1/10","Rotten Tomatoes","89%","Metacritic","69/100","69","7.1","127,577","tt1600196","movie","20 Jan 2015","$8,709,169","Fox Searchlight","http://www.foxsearchlight.com/thedrop/","True",NA
"1753","Swearnet: The Movie","2014","NC-17","12 Sep 2014","112 min","Comedy","Warren P. Sonoda","Mike Smith, John Paul Tremblay, Robb Wells","Robb Wells, John Paul Tremblay, Mike Smith, Patrick Roach","Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.","English","Canada","1 win.","https://m.media-amazon.com/images/M/MV5BMjM3MzU2NjM2OF5BMl5BanBnXkFtZTgwMTI2MzE1MjE@._V1_SX300.jpg","Internet Movie Database","5.9/10","Rotten Tomatoes","20%","Metacritic","18/100","18","5.9","1,982","tt2380564","movie","N/A","N/A","Dada Films","http://www.swearnetthemovie.com/","True",NA
"1754","Finding Fanny","2014","N/A","12 Sep 2014","102 min","Adventure, Comedy, Drama","Homi Adajania","Homi Adajania, Kersi Khambatta","Deepika Padukone, Naseeruddin Shah, Basilo Dias, Kevin D'Mello","A man embarks on a road trip to find his lost love.","English, Hindi, Konkani","India","2 wins & 28 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1Nzk2Mjk2OF5BMl5BanBnXkFtZTgwMTE5NTYxMjE@._V1_SX300.jpg","Internet Movie Database","5.8/10","Rotten Tomatoes","73%",NA,NA,"N/A","5.8","5,500","tt3142688","movie","N/A","$515,393","Fox International","http://www.facebook.com/foxstarhindi","True",NA
"1755","Dolphin Tale 2","2014","PG","12 Sep 2014","107 min","Drama, Family","Charles Martin Smith","Charles Martin Smith, Karen Janszen (characters), Noam Dromi (characters)","Morgan Freeman, Cozi Zuehlsdorff, Ashley Judd, Kris Kristofferson","The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.","English","USA","3 nominations.","https://m.media-amazon.com/images/M/MV5BMjA5NzE4ODQwMV5BMl5BanBnXkFtZTgwMTc4OTA5MTE@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","66%","Metacritic","58/100","58","6.4","7,188","tt2978462","movie","09 Dec 2014","N/A","Warner Bros. Pictures","http://www.dolphintale2.com","True",NA
"1756","Archaeology of a Woman","2012","N/A","12 Sep 2014","94 min","Drama","Sharon Greytak","Sharon Greytak","Sally Kirkland, Victoria Clark, James Murtaugh, Karl Geary","A mother's dementia reignites a past of crime and lust, forcing her daughter to make difficult decisions.","English","USA","1 win.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1NTQyMzQ1Ml5BMl5BanBnXkFtZTgwMTk2MDg1MzE@._V1_SX300.jpg","Internet Movie Database","8.1/10","Rotten Tomatoes","43%","Metacritic","36/100","36","8.1","15","tt1702455","movie","N/A","N/A","Emerald Pictures","https://www.facebook.com/archaeologyofawoman","True",NA
"1757","Alumbrones","2014","N/A","12 Sep 2014","75 min","Documentary, Biography, History","Bruce Donnelly","N/A","N/A","This documentary feature looks at the work and lives of twelve contemporary Cuban artists, living in Havana today. Through in-depth interviews, the film covers a diverse range of subjects ...","Spanish","Brazil, USA, Cuba","N/A","http://ia.media-imdb.com/images/M/MV5BMjE1MTQ0MzY1Nl5BMl5BanBnXkFtZTgwNTAzNTM0MTE@._V1_SX300.jpg","Internet Movie Database","9.2/10","Rotten Tomatoes","83%","Metacritic","47/100","47","9.2","5","tt2951730","movie","N/A","N/A","Candy Factory","http://www.alumbrones.com/","True",NA
"1758","No No: A Dockumentary","2014","NOT RATED","05 Sep 2014","100 min","Documentary, Biography, Sport","Jeff Radice","N/A","Larry Demery, Dock Ellis, Ron Howard","In the 1970s Dock Ellis pitched a no-hitter on LSD and his outspoken style courted conflict and controversy, but his latter years were spent helping others recover from addiction. No No: A ...","English","USA","1 win & 3 nominations.","https://ia.media-imdb.com/images/M/MV5BMTgzMjc5Mzg4NV5BMl5BanBnXkFtZTgwMjM4ODA2MjE@._V1_SX300.jpg","Internet Movie Database","7.2/10","Rotten Tomatoes","97%","Metacritic","68/100","68","7.2","1,283","tt3399112","movie","24 May 2016","N/A","The Orchard","http://www.nonoadockumentary.com/","True",NA
"1759","The Identical","2014","PG","05 Sep 2014","107 min","Drama, Music","Dustin Marcellino","Howard Klausner","Ray Liotta, Ashley Judd, Seth Green, Joe Pantoliano","Twin brothers are unknowingly separated at birth; one of them becomes an iconic rock 'n' roll star, while the other struggles to balance his love for music and pleasing his father.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BMTUxMzMzMTUzNV5BMl5BanBnXkFtZTgwNTUyMTMxMjE@._V1_SX300.jpg","Internet Movie Database","5.1/10","Rotten Tomatoes","6%","Metacritic","25/100","25","5.1","2,262","tt2326574","movie","13 Jan 2015","$2,817,092","Freestyle Releasing","http://theidenticalmovie.com/","True",NA
"1760","Naked Opera","2013","N/A","05 Sep 2014","81 min","Documentary","Angela Christlieb","Patricia Fürst, Philipp Reimer, Angela Christlieb, Bady Minck","Marc Rollinger, Jordan Fox, Christian Alfred Kahrer, Nilton Martins","N/A","Luxembourgish, German, French, English, Italian","Luxembourg, Germany","1 win.","https://images-na.ssl-images-amazon.com/images/M/MV5BNTU4MDIwNzQzMF5BMl5BanBnXkFtZTgwMzgxOTY2NjE@._V1_SX300.jpg","Internet Movie Database","6.5/10",NA,NA,NA,NA,"N/A","6.5","65","tt2585594","movie","N/A","N/A","AUTLOOK Filmsales","http://naked-opera.com","True",NA
"1761","God Help the Girl","2014","UNRATED","05 Sep 2014","112 min","Drama, Musical, Romance","Stuart Murdoch","Stuart Murdoch (screenplay)","Emily Browning, Olly Alexander, Hannah Murray, Pierre Boulanger","As Eve begins writing songs as a way to sort through some emotional problems, she meets James and Cassie, two musicians each at crossroads of their own.","English","UK","3 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMTg0MDYwNjg2NF5BMl5BanBnXkFtZTgwMTE1NzMyMjE@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","68%","Metacritic","58/100","58","6.4","7,829","tt2141751","movie","14 Apr 2015","N/A","Amplify","http://www.godhelpthegirl.com/","True",NA
"1762","The President","2014","N/A","01 Oct 2014","119 min","Drama","Mohsen Makhmalbaf","Mohsen Makhmalbaf, Marzieh Makhmalbaf","Mikheil Gomiashvili, Dachi Orvelashvili, Leo Antadze, Zura Begalishvili","A brutal dictator comes face to face with the injustices committed by his regime when his country is taken over by revolutionists.","Georgian","Georgia, France, UK, Germany","2 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyOTIyMjU3N15BMl5BanBnXkFtZTgwMzgyNDEzOTE@._V1_SX300.jpg","Internet Movie Database","7.3/10","Rotten Tomatoes","88%","Metacritic","67/100","67","7.3","923","tt3966942","movie","27 Sep 2016","N/A","Corinth Films","http://www.corinthfilms.com/thepresident.html","True",NA
"1763","Plot for Peace","2013","NOT RATED","31 Oct 2014","84 min","Documentary, History, Thriller","Carlos Agulló, Mandy Jacobson","Stephen Smith","Jean-Yves Ollivier, Winnie Mandela, Thabo Mbeki, Matthews Phosa","A documentary that reveals the untold story of apartheid's fall, and the mysterious French businessman who was instrumental in Nelson Mandela's release from jail.","English, French, Portuguese, Afrikaans, Spanish","South Africa","5 wins & 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1NDgyMDg2OF5BMl5BanBnXkFtZTgwNDA5NDExMzE@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","73%","Metacritic","75/100","75","6.7","128","tt2679680","movie","27 Jan 2015","$2,554","Trinity Films","http://www.plotforpeace.com/","True",NA
"1764","Braddock America","2013","N/A","31 Oct 2014","100 min","Documentary","Gabriella Kessler, Jean-Loïc Portron","Jean-Loïc Portron","N/A","Braddock, Pennsylvania has been the home to key events that have greatly shaped American history. Today, it is struggling to reinvent itself and stay relevant.","English","France","N/A","http://ia.media-imdb.com/images/M/MV5BMjMwMDQ4MzAwMV5BMl5BanBnXkFtZTgwMjgzNjIwNjE@._V1_SX300.jpg","Internet Movie Database","5.5/10",NA,NA,NA,NA,"N/A","5.5","16","tt2914052","movie","31 Aug 2015","N/A","Anthology Films Archive","N/A","True",NA
"1765","Nightcrawler","2014","R","31 Oct 2014","117 min","Crime, Drama, Thriller","Dan Gilroy","Dan Gilroy","Jake Gyllenhaal, Michael Papajohn, Marco Rodríguez, Bill Paxton","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","English","USA","Nominated for 1 Oscar. Another 43 wins & 120 nominations.","https://m.media-amazon.com/images/M/MV5BN2U1YzdhYWMtZWUzMi00OWI1LWFkM2ItNWVjM2YxMGQ2MmNhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","7.9/10","Rotten Tomatoes","95%","Metacritic","76/100","76","7.9","382,582","tt2872718","movie","10 Feb 2015","N/A","Open Road Films","http://nightcrawlerfilm.com/","True",NA
"1766","Magical Universe","2013","N/A","31 Oct 2014","80 min","Documentary, Biography","Jeremy Workman","Jeremy Workman","Al Carbee, Jeremy Workman, Astrid von Ussar","A documentarian strikes up a friendship with reclusive artist Al Carbee, whose Barbie-doll photography gains acclaim and interest over the course of this project's 10-year history.","English","USA","3 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MjI0NDc5OV5BMl5BanBnXkFtZTgwODg5NDI4MjE@._V1_SX300.jpg","Internet Movie Database","7.6/10","Rotten Tomatoes","63%","Metacritic","60/100","60","7.6","689","tt2266781","movie","11 May 2015","N/A","Sundance Selects","http://magicaluniversefilm.com/","True",NA
"1767","Horns","2013","R","03 Oct 2014","120 min","Crime, Drama, Fantasy","Alexandre Aja","Keith Bunin (screenplay), Joe Hill (based on the novel by)","Daniel Radcliffe, Max Minghella, Joe Anderson, Juno Temple","In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples.","English","USA, Canada","4 wins & 4 nominations.","https://m.media-amazon.com/images/M/MV5BMTQ2Nzk5NzIxMF5BMl5BanBnXkFtZTgwNTM2NTc5MjE@._V1_SX300.jpg","Internet Movie Database","6.5/10","Rotten Tomatoes","40%","Metacritic","46/100","46","6.5","67,580","tt1528071","movie","06 Jan 2015","$511,848","Radius-TWC","http://radiustwc.com/releases/horns/","True",NA
"1768","Hit by Lightning","2014","NOT RATED","31 Oct 2014","89 min","Comedy, Crime, Romance","Ricky Blitt","Ricky Blitt","Alexis Maitland, Richard Roy Sutton, Jon Cryer, Will Sasso","Disappointed that all his friends are married and happy, Ricky goes on the dating site and soon starts dating Danita, who seems to be way out of his league. However, everything comes at a price, he soon realizes.","English, Spanish, French","Canada","N/A","https://m.media-amazon.com/images/M/MV5BMTQ0ODM2MzAzMV5BMl5BanBnXkFtZTgwNTk3NDA2MjE@._V1_SX300.jpg","Internet Movie Database","5.0/10","Rotten Tomatoes","11%","Metacritic","31/100","31","5.0","1,243","tt2402619","movie","21 Apr 2015","N/A","Gravitas Ventures","http://www.hitbylightningmovie.com/","True",NA
"1769","Blood Ransom","2014","TV-MA","31 Oct 2014","101 min","Fantasy, Romance, Thriller","Francis dela Torre","Francis dela Torre","Alexander Dreymon, Emily Skinner, Clifton Powell, Clayton Rohner","A young woman fights the monster she's becoming to save the life of the man she loves.","English","USA, Philippines","N/A","https://m.media-amazon.com/images/M/MV5BMTk5Njc4NTI2OV5BMl5BanBnXkFtZTgwMzMxNTE1NDE@._V1_SX300.jpg","Internet Movie Database","5.5/10",NA,NA,NA,NA,"N/A","5.5","260","tt2173248","movie","22 Aug 2017","N/A","Blood Ransom LLC","http://www.bloodransommovie.com/","True",NA
"1770","Bitter Honey","2016","N/A","01 Apr 2016","105 min","Drama, Fantasy, History","Gakuryû Ishii","Saisei Murô (based on the novel by)","Fumi Nikaidô, Ren Ôsugi, Seiko Iwaidô, Hanae Kan","Based on novelist Muro Saisei's 1959 book, Bitter Honey narrates the story of a poet who informed by his physician of his impending death finds renewed flights of fantasy. He is visited by ...","Japanese","Japan","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNzZhYTllNWQtNTdlYy00NGM4LThiNjYtMWVlNDk2ZTA4YWRkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg","Internet Movie Database","5.8/10",NA,NA,NA,NA,"N/A","5.8","52","tt4840686","movie","N/A","N/A","N/A","N/A","True",NA
"1771","All You Need Is Love","2009","N/A","03 Nov 2009","92 min","Comedy, Drama, Romance","Edzard Onneken","Kerstin Oesterlin, Jessica Schellack","Saskia Vester, Jürgen Tonkel, Jenny Elvers, Andreas Helgi Schmid","Young man returns to his hometown to marry his male partner, while family and neighbors deal with the news.","German","Germany","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYmY0ZWQxZGUtMjkyYS00OGI4LTg3YWQtMzFjNTBiZDg0NmM4XkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_SX300.jpg","Internet Movie Database","7.0/10",NA,NA,NA,NA,"N/A","7.0","447","tt1528710","movie","N/A","N/A","N/A","N/A","True",NA
"1772","Before I Go to Sleep","2014","R","31 Oct 2014","92 min","Drama, Horror, Mystery","Rowan Joffe","Rowan Joffe, S.J. Watson (based on the novel by)","Nicole Kidman, Colin Firth, Mark Strong, Ben Crompton","A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.","English","UK, USA, France, Sweden","N/A","https://m.media-amazon.com/images/M/MV5BNjI0NTAwMTU1NV5BMl5BanBnXkFtZTgwNzkwNjQ0MjE@._V1_SX300.jpg","Internet Movie Database","6.3/10","Rotten Tomatoes","36%","Metacritic","41/100","41","6.3","61,241","tt1726592","movie","27 Jan 2015","N/A","Clarius Entertainment","http://www.beforeigotosleepthemovie.com/","True",NA
"1773","Happy New Year","2014","N/A","24 Oct 2014","180 min","Action, Comedy, Musical","Farah Khan","Althea Kaushal, Farah Khan, Mayur Puri (dialogue)","Shah Rukh Khan, Deepika Padukone, Anurag Kashyap, Abhishek Bachchan","A gang of an amateur dancers takes part in a dancing competition to avenge their personal vendetta.","Hindi","India","11 wins & 38 nominations.","https://m.media-amazon.com/images/M/MV5BMjEwZGQwZWMtNTU4Zi00YWVlLTlhZTYtZjc2MzJmMGVmMDQwXkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_SX300.jpg","Internet Movie Database","5.2/10","Rotten Tomatoes","57%",NA,NA,"N/A","5.2","30,408","tt2461132","movie","N/A","$1,219,212","Yash Raj Films","http://www.hny.co.in/","True",NA
"1774","John Wick","2014","R","24 Oct 2014","101 min","Action, Crime, Thriller","Chad Stahelski, David Leitch","Derek Kolstad","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","An ex-hitman comes out of retirement to track down the gangsters that killed his dog and took everything from him.","English, Russian, Hungarian","China, USA","5 wins & 8 nominations.","https://m.media-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_SX300.jpg","Internet Movie Database","7.3/10","Rotten Tomatoes","86%","Metacritic","68/100","68","7.3","400,630","tt2911666","movie","03 Feb 2015","N/A","LionsGate Entertainment","http://johnwickthemovie.com/","True",NA
"1775","The Heart Machine","2014","NOT RATED","24 Oct 2014","85 min","Drama, Thriller","Zachary Wigon","Zachary Wigon","Louisa Krause, Kate Lyn Sheil, John Gallagher Jr., Katie Paxton","A man begins to suspect that his long-distance girlfriend whom he met on the Internet has been living in the same city as him, and he sets out looking for her.","English","USA","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4MzMyNTk1MF5BMl5BanBnXkFtZTgwOTc4NzAwMzE@._V1_SX300.jpg","Internet Movie Database","5.9/10","Rotten Tomatoes","95%","Metacritic","72/100","72","5.9","530","tt3115712","movie","21 Sep 2015","N/A","FilmBuff","http://www.facebook.com/heartmachinemovie","True",NA
"1776","Stonehearst Asylum","2014","PG-13","24 Oct 2014","112 min","Drama, Horror, Thriller","Brad Anderson","Edgar Allan Poe (based on a short story by), Joe Gangemi (screenplay by)","Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson","An Oxford graduate takes up a job in a mental asylum, only to discover that the ""revolutionary"" new treatments are inhumane and that there is more going on than meets the eye.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BNjg5NjU0MTM4N15BMl5BanBnXkFtZTgwMjU1NDQzMjE@._V1_SX300.jpg","Internet Movie Database","6.8/10","Rotten Tomatoes","53%","Metacritic","52/100","52","6.8","43,718","tt1772264","movie","15 Dec 2014","N/A","Millenium Entertainment","http://stonehearstasylum.com","True",NA
"1777","Ouija","2014","PG-13","24 Oct 2014","89 min","Horror, Thriller","Stiles White","Juliet Snowden, Stiles White","Olivia Cooke, Ana Coto, Daren Kagasoff, Bianca A. Santos","A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.","English","Japan, USA","1 win.","https://m.media-amazon.com/images/M/MV5BMTQ1NzcwMTU5MF5BMl5BanBnXkFtZTgwOTE5MzEyMjE@._V1_SX300.jpg","Internet Movie Database","4.5/10","Rotten Tomatoes","6%","Metacritic","38/100","38","4.5","42,225","tt1204977","movie","03 Feb 2015","$43,513,891","Universal Pictures","http://www.ouijamovie.com/","True",NA
"1778","Laggies","2014","R","24 Oct 2014","99 min","Comedy, Drama, Romance","Lynn Shelton","Andrea Seigel","Rocki DuCharme, Sara Lynne Wright, Larissa Schmitz, Phillip Abraham","In the throes of a quarter-life crisis, Megan panics when her boyfriend proposes, then, taking an opportunity to escape for a week, hides out in the home of her new friend, 16-year-old Annika, who lives with her world-weary single dad.","English","USA","1 win & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMTY5NjU0MTQwMl5BMl5BanBnXkFtZTgwMjYxMTU0MjE@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","66%","Metacritic","63/100","63","6.4","37,609","tt2034031","movie","10 Feb 2015","N/A","A24 Films","http://laggiesthemovie.tumblr.com/","True",NA
"1779","23 Blast","2014","PG-13","24 Oct 2014","98 min","Drama, Family, Sport","Dylan Baker","Bram Hoover, Toni Hoover","Stephen Lang, Alexa PenaVega, Mark Hapka, Max Adler","When a high school football star is suddenly stricken with irreversible total blindness, he must decide whether to live a safe handicapped life or bravely return to the life he once knew and the sport he still loves.","English","USA","1 win.","https://ia.media-imdb.com/images/M/MV5BMTYwNjIxOTc4NF5BMl5BanBnXkFtZTgwMTI0MDA5MjE@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","38%","Metacritic","45/100","45","6.4","1,459","tt2304459","movie","N/A","$485,128","Ocean Avenue Entertainment","http://www.23Blast.com","True",NA
"1780","E-Team","2014","N/A","22 Oct 2014","88 min","Documentary","Katy Chevigny, Ross Kauffman","N/A","Anna Neistat","When atrocities are committed in countries held hostage by ruthless dictators, Human Rights Watch sends in the E-Team (Emergencies Team), a collection of fiercely intelligent individuals ...","English, German, Arabic, Russian, French","USA","4 wins & 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4NDExNDYxNF5BMl5BanBnXkFtZTgwMDkyOTczMTE@._V1_SX300.jpg","Internet Movie Database","7.2/10","Rotten Tomatoes","89%","Metacritic","66/100","66","7.2","607","tt3456090","movie","N/A","N/A","Netflix","http://www.eteamfilm.com/","True",NA
"1781","The Hacker Wars","2014","NOT RATED","17 Oct 2014","91 min","Documentary, Crime","Vivien Lesnik Weisman, Vivien Lesnik Weisman","Vivien Lesnik Weisman, Meredith Raithel Perry, Vivien Lesnik Weisman","Andrew 'weev' Auernheimer, Andrew Blake, Barrett Brown, Jaime 'asshurtmacfags' Cochran","Ripped from international headlines, The Hacker Wars takes you to the front lines of the high-stakes battle over the fate of the Internet, freedom and privacy.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BNzgwOTI0MjQwN15BMl5BanBnXkFtZTgwMjAwNzQ3MzE@._V1_SX300.jpg","Internet Movie Database","6.6/10",NA,NA,NA,NA,"N/A","6.6","835","tt4047350","movie","N/A","N/A","Vitagraph Films","http://thehackerwars.com/","True",NA
"1782","The Book of Life","2014","PG","17 Oct 2014","95 min","Animation, Adventure, Comedy","Jorge R. Gutiérrez","Jorge R. Gutiérrez (screenplay by), Doug Langdale (screenplay by)","Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman","Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.","English, Spanish","USA","Nominated for 1 Golden Globe. Another 3 wins & 28 nominations.","https://m.media-amazon.com/images/M/MV5BMTkzOTgzNDYzOF5BMl5BanBnXkFtZTgwOTgxMTkyMjE@._V1_SX300.jpg","Internet Movie Database","7.3/10","Rotten Tomatoes","82%","Metacritic","67/100","67","7.3","57,283","tt2262227","movie","27 Jan 2015","N/A","20th Century Fox","http://www.bookoflifemovie.com/","True",NA
"1783","The Best of Me","2014","PG-13","17 Oct 2014","118 min","Drama, Romance","Michael Hoffman","Nicholas Sparks (novel), Will Fetters (screenplay), J. Mills Goodloe (screenplay)","Michelle Monaghan, James Marsden, Luke Bracey, Liana Liberato","A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMzQ5Njg3Njk5N15BMl5BanBnXkFtZTgwODIwODIxMjE@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","9%","Metacritic","29/100","29","6.7","56,236","tt1972779","movie","03 Feb 2015","$21,984,384","Relativity Media","http://www.facebook.com/BestOfMeMovie","True",NA
"1784","Fury","2014","R","17 Oct 2014","134 min","Action, Drama, War","David Ayer","David Ayer","Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña","A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","English, German","USA, China, UK","5 wins & 23 nominations.","https://m.media-amazon.com/images/M/MV5BMjA4MDU0NTUyN15BMl5BanBnXkFtZTgwMzQxMzY4MjE@._V1_SX300.jpg","Internet Movie Database","7.6/10","Rotten Tomatoes","77%","Metacritic","64/100","64","7.6","365,330","tt2713180","movie","27 Jan 2015","$72,609,225","Sony Pictures","http://furymovie.tumblr.com/","True",NA
"1785","Default","2014","N/A","17 Oct 2014","88 min","Action, Thriller","Simon Brand","Jim Wolfe Jr., Dan Bence","Grifon Aldren, Jeanne Baron, John Burke, Greg Callahan","A news crew is taken hostage on an airplane set to take off from the Seychelles by a gang of Somali pirates whose leader is driven by one goal: to be interviewed by a prominent member of the crew, legendary journalist Frank Saltzman.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BMTg1MjQyMDQ4MV5BMl5BanBnXkFtZTgwMTg3ODA4MjE@._V1_SX300.jpg","Internet Movie Database","4.3/10","Rotten Tomatoes","43%","Metacritic","34/100","34","4.3","219","tt1871257","movie","N/A","N/A","Amplify Releasing","N/A","True",NA
"1786","Eternity: The Movie","2014","N/A","17 Oct 2014","88 min","Comedy, Music, Musical","Ian Thorpe","Joey Abi-Loutfi (screenplay), Joey Abi-Loutfi, Eric E. Staley (screenplay), Ian Thorpe (screenplay)","Barrett Crake, Myko Olivier, Eric Roberts, Martin Kove","Todd Lucas is a naive songwriter from the Midwest. BJ Fairchild is a brash saxophonist from The Valley. Alone, they are pathetic losers. Together, they form the most mediocre R&B duo of the 1980s - Eternity.","English","USA","2 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4ODk1MTMxMF5BMl5BanBnXkFtZTgwNDU0NDYwMTE@._V1_SX300.jpg","Internet Movie Database","7.6/10","Rotten Tomatoes","0%","Metacritic","28/100","28","7.6","38","tt2309762","movie","N/A","N/A","Vagrant Films","http://www.eternitythewebsite.com/","True",NA
